"species","population","colony","lat_colony","lon_colony"
"Ardenna bulleri","Aorangi Island","Aorangi Island",-35.5,174.75
"Ardenna bulleri","Aorangi Island","Aorangi Island",-45.92,170.48
"Ardenna carneipes","Breaksea Island","Breaksea Island",-35.06,118.05
"Ardenna carneipes","Lord Howe Island","Lord Howe Island",-31.56,159.09
"Ardenna carneipes","New Zealand","Lady Alice",-33.65,170.18
"Ardenna carneipes","New Zealand","Ohinau Island",-36.72,175.88
"Ardenna carneipes","New Zealand","Kauwahaia Island",-36.9,174.44
"Ardenna carneipes","New Zealand","Titi Island",-40.95,174.14
"Ardenna creatopus","Isla Mocha and Juan Fernandez","Juan Fernandez Islands",-33.67,-78.89
"Ardenna creatopus","Isla Mocha and Juan Fernandez","Mocha Island",-38.37,-73.91
"Ardenna gravis","Gough","Gough Island",-40.31,-9.91
"Ardenna gravis","Tristan da Cunha","Inaccessible Island",-37.31,-12.73
"Ardenna gravis","Tristan da Cunha","Nightingale",-37.43,-12.48
"Ardenna grisea","Codfish Island","Codfish Island",-46.78,167.63
"Ardenna grisea","Falkland Islands","Kidney Island",-51.62,-57.75
"Ardenna grisea","North Island","Kauwahaia Island",-36.89,174.44
"Ardenna grisea","North Island","Mana Island",-41.08,174.78
"Ardenna pacifica","Hawaii","Maui",20.71,-156.45
"Ardenna pacifica","Hawaii","Maui",20.94,-156.35
"Ardenna pacifica","Hawaii","Oahu",21.26,-157.79
"Ardenna pacifica","Hawaii","Oahu",21.43,-157.74
"Ardenna pacifica","Hawaii","Oahu",21.57,-158.28
"Ardenna pacifica","Hawaii","Oahu",21.66,-157.92
"Ardenna pacifica","Hawaii","Kauai",21.89,-159.5
"Ardenna pacifica","Hawaii","Maui",21,-156.67
"Ardenna pacifica","Hawaii","Kauai",22.02,-160.1
"Ardenna pacifica","Hawaii","Kauai",22.22,-159.38
"Ardenna pacifica","Hawaii","Kauai",22.23,-159.4
"Ardenna pacifica","Hawaii","Kauai",22.23,-159.49
"Ardenna pacifica","Heron Island","Heron Island",-23.44,151.91
"Ardenna pacifica","Lowendal & Houtman Abrolhoss","Lowendal Islands & Houtman Abrolhos",-20.65,115.57
"Ardenna pacifica","Lowendal & Houtman Abrolhoss","Lowendal Islands & Houtman Abrolhos",-28.93,113.97
"Ardenna pacifica","Mauritius","Round",-19.85,57.79
"Ardenna pacifica","New Calendonia","Loop islet",-19.96,158.48
"Ardenna pacifica","New Calendonia","Tiam'bouene islet",-20.4,164.03
"Ardenna pacifica","New Calendonia","Pinda√Ø",-21.35,164.96
"Ardenna pacifica","New Calendonia","Canard islet",-22.31,166.43
"Ardenna pacifica","New Calendonia","Mato islet",-22.55,166.79
"Ardenna pacifica","Reunion","Reunion",-21.12,55.53
"Ardenna pacifica","Reunion","Reunion",-21.14,55.54
"Ardenna pacifica","Seychelles","Aride",-4.21,55.66
"Ardenna pacifica","Seychelles","Cousin",-4.33,55.66
"Ardenna pacifica","Seychelles","D Arros",-5.41,53.29
"Ardenna tenuirostris","SE Australia","Montague Island",-36.25,150.22
"Ardenna tenuirostris","SE Australia","Gabo Island",-37.56,149.91
"Ardenna tenuirostris","SE Australia","Griffiths Island",-38.39,142.25
"Ardenna tenuirostris","SE Australia","French Island",-38.5,145.2
"Ardenna tenuirostris","SE Australia","Great Dog Island",-40.25,148.25
"Ardenna tenuirostris","SE Australia","Wedge Island or Whalebone Point",-43.13,147.67
"Bulweria bulwerii","Azores","Vila",36.94,-25.17
"Bulweria bulwerii","Canarias","M Clara",29.29,-13.54
"Bulweria bulwerii","Canarias","Alegranza",29.4,-13.51
"Bulweria bulwerii","Cape Verde","Ilheu de Cima",14.97,-24.64
"Bulweria bulwerii","Cape Verde","Raso",16.61,-24.59
"Bulweria bulwerii","Cape Verde","Rabo de Junco",16.7,-22.99
"Bulweria bulwerii","Madeira","Selvagens",30.14,-15.86
"Calonectris borealis","Azores","Vila",36.94,-25.17
"Calonectris borealis","Azores","Corvo",39.7,-31.1
"Calonectris borealis","Berlengas","Berlengas",39.41,-9.51
"Calonectris borealis","Canarias","Veneguera",27.84,-15.79
"Calonectris borealis","Canarias","La Palma",28.72,-17.9
"Calonectris borealis","Canarias","Lanzarote/Timanfaya",29.03,-13.81
"Calonectris borealis","Canarias","M Clara",29.29,-13.54
"Calonectris borealis","Canarias","Alegranza",29.4,-13.51
"Calonectris borealis","Madeira","Selvagens",30.14,-15.86
"Calonectris borealis","Madeira","Cima Islet",33.05,-16.28
"Calonectris diomedea","Balearic Archipelago","Pantaleu",39.57,2.34
"Calonectris diomedea","Balearic Archipelago","Isla del Aire",39.8,4.29
"Calonectris diomedea","Balearic Archipelago","Menorca/Mola de Ma√≥",39.87,4.31
"Calonectris diomedea","Balearic Archipelago","Columbretes",39.9,0.69
"Calonectris diomedea","Balearic Archipelago","CalaMorell",40.05,3.88
"Calonectris diomedea","Chafarinas","Chafarinas",35.18,-2.43
"Calonectris diomedea","La Maddalena Archipelago","Spargiotto-Barettini",41.26,9.38
"Calonectris diomedea","La Maddalena Archipelago","Carpa-Barettini",41.28,9.4
"Calonectris diomedea","Linosa","Linosa",35.86,12.87
"Calonectris diomedea","Linosa","Mannarazza",35.87,12.86
"Calonectris diomedea","Malta","Filfla",35.79,14.41
"Calonectris diomedea","Malta","Hal Far",35.81,14.51
"Calonectris diomedea","Malta","Ghar Lapsi",35.83,14.43
"Calonectris diomedea","Malta","Malta",35.9,14.44
"Calonectris diomedea","Malta","Gharb",36.07,14.18
"Calonectris diomedea","Tremiti Archipelago","Capraia",42.13,15.51
"Calonectris diomedea","Tuscany Archipelago","Pianosa-LaScola",42.58,10.11
"Calonectris diomedea","Zembra","Zembra",37.13,10.8
"Calonectris edwardsii","Cape Verde","Curral Velho",15.97,-22.79
"Calonectris edwardsii","Cape Verde","CurralVelho",15.98,-22.79
"Calonectris edwardsii","Cape Verde","Raso",16.61,-24.59
"Calonectris leucomelas","Iwate","Sanganjima Island",32.62,129.73
"Calonectris leucomelas","Iwate","Sangan Island",39.18,141.58
"Calonectris leucomelas","Iwate","Funakoshi-Ohshima Island",39.4,142
"Calonectris leucomelas","Korea","Korea",34.78,125.78
"Calonectris leucomelas","Mikura","Mikura",33.52,139.14
"Calonectris leucomelas","Mikura","Mikura",33.87,139.59
"Calonectris leucomelas","Niigata","Awa Island",38.45,139.25
"Daption capense","Davis","Hop Island",-68.82,77.68
"Daption capense","Pointe Geologie","Ile des Petrels",-66.67,140.02
"Fulmarus glacialis","Bj¯rn¯ya","Bj√∏rn√∏ya",74.5,18.96
"Fulmarus glacialis","Breidafjordur","Reykjanes",63.97,-22.22
"Fulmarus glacialis","Breidafjordur","Papey",64.59,-14.17
"Fulmarus glacialis","Breidafjordur","Breidafjordur",65.08,-22.74
"Fulmarus glacialis","Breidafjordur","Langanes and Skjalfandi",66.18,-15.98
"Fulmarus glacialis","Breidafjordur","Grimsey",66.53,-17.99
"Fulmarus glacialis","Cape Vera","Cape Vera",76.25,-89.25
"Fulmarus glacialis","Faroe Islands","Faroe Islands",61.95,-6.8
"Fulmarus glacialis","Jan Mayen","Jan Mayen",70.92,-8.72
"Fulmarus glacialis","Norway","Jarsteinen",59.15,5.17
"Fulmarus glacialis","Scotland","Whinnyfold",57.38,-1.87
"Fulmarus glacialis","Scotland","Bullers of Buchan",57.43,-1.81
"Fulmarus glacialis","Scotland","Muckle Skerry",58.69,-2.92
"Fulmarus glacialis","Scotland","Swona",58.74,-3.05
"Fulmarus glacialis","Scotland","Copinsay",58.9,-2.67
"Fulmarus glacialis","Scotland","Eynehallow",59.14,-3.12
"Fulmarus glacialis","Scotland","Fair Isle",59.53,-1.63
"Fulmarus glacialis","Svalbard","Alkefjellet",79.58,18.46
"Fulmarus glacialoides","Davis","Hop Island",-68.82,77.68
"Fulmarus glacialoides","Davis","Hop Island",-68.82,77.69
"Fulmarus glacialoides","Pointe Geologie","Ile des Petrels",-66.67,140.02
"Halobaena caerulea","Kerguelen","Iles Kerguelen",-49.36,69.57
"Halobaena caerulea","South Georgia","Bird Island (SGSSI (IGSISS))",-54,-38.03
"Hydrobates castro","Azores","Praia Islet",39.06,-27.96
"Hydrobates castro","Berlengas","Berlengas",39.41,-9.51
"Hydrobates castro","St Helena","Egg Island",-15.97,-5.77
"Hydrobates furcatus","Gillam Island","Gillam Islands",50.45,-127.97
"Hydrobates jabejabe","Cape Verde","Ilh√©u de Cima",14.97,-24.64
"Hydrobates leucorhous","Gillam Island","Gillam Islands",50.45,-127.97
"Hydrobates leucorhous","Newfoundland","Gull Island",47.95,-53.04
"Hydrobates leucorhous","Newfoundland","Baccalieu Island",48.12,-52.8
"Hydrobates leucorhous","Nova Scotia","Bon Portage",43.46,-65.75
"Hydrobates leucorhous","Nova Scotia","Bird Island",44.87,-62.28
"Hydrobates leucorhous","Nova Scotia","CI1",45.1,-61.54
"Hydrobates leucorhous","Nova Scotia","Country Island",45.16,-61.45
"Hydrobates monteiroi","Azores","Praia Islet",39.06,-27.96
"Hydrobates pelagicus","Benidorm Island","Benidorm",38.5,-0.13
"Hydrobates pelagicus","Capo caccia","Capo caccia",40.59,8.17
"Hydrobates pelagicus","Ireland","High Island",53.55,-10.26
"Hydrobates pelagicus","Malta","Filfla",35.79,14.41
"Hydrobates pelagicus","Shetland","Mousa",60,-1.18
"Oceanites oceanicus","South Shetland Islands","King George Island",-62.03,-58.3
"Pachyptila belcheri","Kerguelen","Iles Kerguelen",-49.36,69.57
"Pachyptila belcheri","New Island","New Island",-51.72,-61.29
"Pachyptila desolata","Kerguelen","Iles Kerguelen",-49.36,69.57
"Pachyptila desolata","South Georgia","Bird Island (SGSSI (IGSISS))",-54,-38.03
"Pachyptila macgillivrayi","Gough","Gough Island",-40.31,-9.91
"Pachyptila turtur","Dunedin","Dunedin",-45.92,170.48
"Pachyptila turtur","Kanowna Island","Kanowna Island",-39.15,146.31
"Pachyptila vittata","Gough","Gough Island",-40.31,-9.91
"Pachyptila vittata","Tristan da Cunha","Tristan da Cunha",-37.11,-12.28
"Pagodroma nivea","Pointe Geologie","Ile des Petrels",-66.67,140.02
"Pelagodroma marina","Cape Verde","P√°ssaros",16.2,-22.7
"Pelagodroma marina","Madeira","Selvagens",30.14,-15.86
"Pelecanoides garnotii","Paracas","Isla La Vieja",-14.27,-76.2
"Pelecanoides georgicus","South Georgia","Bird Island (SGSSI (IGSISS))",-54,-38.03
"Pelecanoides urinatrix","Kanowna Island","Kanowna Island",-39.15,146.31
"Pelecanoides urinatrix","North Island","Burgess Island",-35.9,175.11
"Pelecanoides urinatrix","North Island","Tiritiri Matangi",-36.59,174.88
"Pelecanoides urinatrix","North Island","Kauwahaia Island",-36.89,174.44
"Pelecanoides urinatrix","South Georgia","Bird Island (SGSSI (IGSISS))",-54,-38.03
"Pelecanoides whenuahouensis","Codfish Island","Codfish Island",-46.78,167.63
"Procellaria aequinoctialis","Antipodes Islands","Antipodes Islands",-49.68,178.8
"Procellaria aequinoctialis","Crozet","Iles Crozet",-46.42,51.74
"Procellaria aequinoctialis","Crozet","Crozet",-49.68,70.24
"Procellaria aequinoctialis","Kerguelen","Iles Kerguelen",-49.36,69.57
"Procellaria aequinoctialis","Kerguelen","Sourcils Noirs",-49.68,70.24
"Procellaria aequinoctialis","Prince Edward Islands","Marion Island",-46.9,37.75
"Procellaria aequinoctialis","South Georgia","Bird Island (SGSSI (IGSISS))",-54,-38.03
"Procellaria cinerea","Antipodes Islands","Antipodes Islands",-49.68,178.8
"Procellaria cinerea","Gough","Gough Island",-40.31,-9.91
"Procellaria cinerea","Gough","Gonydale",-40.32,-9.94
"Procellaria cinerea","Kerguelen","Iles Kerguelen",-49.36,69.57
"Procellaria cinerea","Kerguelen","Mayes",-49.47,69.95
"Procellaria cinerea","Prince Edward Islands","Fred's Hill Route",-46.88,37.87
"Procellaria conspicillata","Tristan da Cunha","Inaccessible Island",-37.31,-12.73
"Procellaria conspicillata","Tristan da Cunha","At-Sea",NA,NA
"Procellaria parkinsoni","Great Barrier Island","Great Barrier Island",-36.17,175.38
"Procellaria parkinsoni","Great Barrier Island","Great Barrier Island",-36.41,175.23
"Procellaria westlandica","Punakaiki","Punakaiki",-42.15,171.34
"Procellaria westlandica","Punakaiki","Punakaiki",-45.76,170.71
"Pseudobulweria aterrima","Reunion","Reunion",-21.12,55.53
"Pseudobulweria rostrata","New Calendonia","Nemou islet",-21.67,166.38
"Pseudobulweria rostrata","New Calendonia","Mato islet",-22.55,166.79
"Pterodroma arminjoniana","Round Island","Round Island",-19.85,57.79
"Pterodroma arminjoniana","Trindade Island","Trindade Island",-20.5,-29.33
"Pterodroma arminjoniana","Trindade Island","Praia das Tartarugas",-20.52,-29.31
"Pterodroma axillaris","Chatham Islands","South East Island",-44.35,-176.17
"Pterodroma baraui","Reunion","Reunion",-21.12,55.53
"Pterodroma cahow","Bermuda Island","Green Horn Long R Nonsuch",32.34,-64.66
"Pterodroma cahow","Bermuda Island","Nonsuch Island",32.35,-64.66
"Pterodroma cervicalis","Phillip Island","Phillip Island",-29.12,167.95
"Pterodroma cookii","Codfish Island","Codfish Island",-46.78,167.63
"Pterodroma cookii","Little Barrier Island","Little Barrier Island",-36.2,175.06
"Pterodroma deserta","Madeira","Bugio",32.44,-16.49
"Pterodroma feae","Cape Verde","Fogo",14.98,-24.37
"Pterodroma feae","Cape Verde","Santiago",15.06,-23.61
"Pterodroma feae","Cape Verde","Santo Ant√£o",17.07,-25.17
"Pterodroma gouldi","Bethells Beach","Goat Island",-36.27,174.8
"Pterodroma gouldi","Bethells Beach","Moturemu Island",-36.42,174.39
"Pterodroma gouldi","Bethells Beach","Ihumoana Island",-36.89,174.44
"Pterodroma gouldi","Bethells Beach","Ihumoana Island",-38.89,174.44
"Pterodroma hasitata","Sierra de Bahoruco","Sierra de Bahoruco",18.3,-71.7
"Pterodroma incerta","Gough","Gough Island",-40.31,-9.91
"Pterodroma inexpectata","Lake HaurokoPetrel Island","Lake Hauroko/Petrel Island",-46,167.32
"Pterodroma lessonii","Adams Island","Adams Island",-50.88,166.05
"Pterodroma leucoptera","Cabbage Tree Island","Cabbage Tree Island",-32.68,152.22
"Pterodroma leucoptera","Cabbage Tree Island","Cabbage Tree Island",-32.69,152.22
"Pterodroma leucoptera","New Caledonia","New Caledonia",-22.08,166.41
"Pterodroma macroptera","Prince Edward Islands","Marion Island",-46.9,37.75
"Pterodroma madeira","Madeira","Madeira",32.73,-16.93
"Pterodroma magentae","Chatham Islands","Chatham Island",-43.91,-176.51
"Pterodroma mollis","Antipodes","Antipodes Islands",-49.68,178.8
"Pterodroma mollis","Gough","Gough Island",-40.31,-9.91
"Pterodroma neglecta","Phillip Island","Phillip Island",-29.12,167.95
"Pterodroma nigripennis","Chatham Islands","South East Island",-44.35,-176.17
"Pterodroma nigripennis","Phillip Island","Phillip Island",-29.12,167.95
"Pterodroma phaeopygia","Galapagos","Santa Cruz",-0.6,-90.34
"Pterodroma pycrofti","Red Mercury Island","Red Mercury Island",-36.62,175.93
"Pterodroma sandwichensis","Hawaii","US - Hawaii",19.51,-155.43
"Pterodroma sandwichensis","Hawaii","US - Hawaii",19.52,-155.43
"Pterodroma sandwichensis","Hawaii","US - Maui",20.7,-156.26
"Pterodroma sandwichensis","Hawaii","US - Maui",20.71,-156.25
"Pterodroma sandwichensis","Hawaii","US - Maui",20.72,-156.25
"Pterodroma sandwichensis","Hawaii","US - Lanai",20.82,-156.88
"Pterodroma sandwichensis","Hawaii","HawaiiIsland_or_Kauai_or_Lanai",22.08,-159.5
"Pterodroma sandwichensis","Hawaii","US - Kauai",22.16,-159.6
"Pterodroma solandri","Lord Howe Island","Lord Howe Island",-31.56,159.09
"Pterodroma ultima","Henderson Island","North Beach",-24.34,-128.33
"Pterodroma ultima","Henderson Island","Henderson Island",-24.37,-128.33
"Puffinus assimilis","E of Aukland","Burgess Island",-35.9,175.11
"Puffinus assimilis","Lord Howe Island","Lord Howe Island",-31.56,159.09
"Puffinus bailloni","Seychelles","Aride",-4.21,55.66
"Puffinus gavia","E of Aukland","Burgess Island",-35.9,175.11
"Puffinus huttoni","Te Rae o Atiu","Te Rae o Atiu",-42.43,173.7
"Puffinus lherminieri","Azores","Vila",36.94,-25.17
"Puffinus lherminieri","Cape Verde","Ilheu de Cima",14.97,-24.64
"Puffinus lherminieri","Cape Verde","Raso",16.61,-24.59
"Puffinus lherminieri","Cape Verde","Raso Islet",16.61,-24.6
"Puffinus lherminieri","Madeira","Selvagens",30.14,-15.86
"Puffinus lherminieri","Madeira","Cima Islet",33.05,-16.28
"Puffinus mauretanicus","Balearic Archipelago","Ibiza",38.98,1.41
"Puffinus mauretanicus","Balearic Archipelago","Mallorca",39.5,3
"Puffinus mauretanicus","Balearic Archipelago","Menorca",39.96,4.13
"Puffinus newelli","Hawaii","Kauai",22.08,-159.5
"Puffinus opisthomelas","Isla Natividad","Isla Natividad",27.86,-115.17
"Puffinus puffinus","Heimaey","Heimaey",63.4,-20.28
"Puffinus puffinus","Ireland","Blaskets",52.11,-10.52
"Puffinus puffinus","Ireland","High Island",53.55,-10.26
"Puffinus puffinus","UK","Lundy",51.17,-4.67
"Puffinus puffinus","UK","Skomer",51.74,-5.3
"Puffinus puffinus","UK","Ramsey",51.86,-5.34
"Puffinus puffinus","UK","Bardsey",52.76,-4.78
"Puffinus puffinus","UK","Copeland",55.1,-6.1
"Puffinus puffinus","UK","Rum",57,-6.34
"Puffinus yelkouan","Iles Hyeres","Porquerolles",42.99,6.21
"Puffinus yelkouan","Iles Hyeres","Port Cros",43.01,6.38
"Puffinus yelkouan","Iles Hyeres","Iles Hyeres",43,6.21
"Puffinus yelkouan","Malta","Malta",35.9,14.44
"Puffinus yelkouan","Malta","Majjistral",35.96,14.34
"Puffinus yelkouan","Malta","Rdum Tal Madonna",35.99,14.37
"Thalassoica antarctica","Davis","Hop Island",-68.82,77.69
"Thalassoica antarctica","Svarthamaren","Svarthamaren",-71.88,5.17
